index,dhi,ghi,dni
2017-06-01 00:00:00,0.0,0.0,0.0
2017-06-01 00:15:00,0.0,0.0,0.0
2017-06-01 00:30:00,0.0,0.0,0.0
2017-06-01 00:45:00,0.0,0.0,0.0
2017-06-01 01:00:00,0.0,0.0,0.0
2017-06-01 01:15:00,0.0,0.0,0.0
2017-06-01 01:30:00,0.0,0.0,0.0
2017-06-01 01:45:00,0.0,0.0,0.0
2017-06-01 02:00:00,0.0,0.0,0.0
2017-06-01 02:15:00,0.0,0.0,0.0
2017-06-01 02:30:00,0.0,0.0,0.0
2017-06-01 02:45:00,0.0,0.0,0.0
2017-06-01 03:00:00,0.0,0.0,0.0
2017-06-01 03:15:00,0.0,0.0,0.0
2017-06-01 03:30:00,4.166666666666667,4.166666666666667,0.0
2017-06-01 03:45:00,13.333333333333334,13.333333333333334,0.0
2017-06-01 04:00:00,27.5,30.0,2.5000000000000018
2017-06-01 04:15:00,41.666666666666664,55.0,13.333333333333336
2017-06-01 04:30:00,54.16666666666667,76.66666666666666,22.49999999999999
2017-06-01 04:45:00,65.0,105.0,40.0
2017-06-01 05:00:00,76.66666666666667,137.5,60.83333333333333
2017-06-01 05:15:00,86.66666666666667,168.33333333333334,81.66666666666667
2017-06-01 05:30:00,97.5,204.16666666666666,106.66666666666666
2017-06-01 05:45:00,110.0,240.0,130.0
2017-06-01 06:00:00,121.66666666666666,275.8333333333333,154.16666666666666
2017-06-01 06:15:00,131.66666666666666,316.6666666666667,185.00000000000003
2017-06-01 06:30:00,145.0,355.0,210.0
2017-06-01 06:45:00,160.0,385.0,225.0
2017-06-01 07:00:00,175.0,411.6666666666667,236.66666666666669
2017-06-01 07:15:00,185.0,451.6666666666667,266.6666666666667
2017-06-01 07:30:00,185.0,500.0,315.0
2017-06-01 07:45:00,191.66666666666666,525.0,333.33333333333337
2017-06-01 08:00:00,196.66666666666669,567.5,370.8333333333333
2017-06-01 08:15:00,208.33333333333334,598.3333333333334,390.0
2017-06-01 08:30:00,215.0,620.8333333333333,405.8333333333333
2017-06-01 08:45:00,226.66666666666666,651.6666666666666,425.0
2017-06-01 09:00:00,242.5,701.6666666666667,459.1666666666667
2017-06-01 09:15:00,261.6666666666667,545.0000000000001,283.3333333333334
2017-06-01 09:30:00,241.66666666666669,638.3333333333334,396.66666666666663
2017-06-01 09:45:00,251.66666666666666,870.0,618.3333333333334
2017-06-01 10:00:00,277.5,848.3333333333333,570.8333333333333
2017-06-01 10:15:00,295.0,828.3333333333334,533.3333333333334
2017-06-01 10:30:00,270.0,847.5,577.5
2017-06-01 10:45:00,245.0,291.6666666666667,46.666666666666686
2017-06-01 11:00:00,281.6666666666667,875.0,593.3333333333333
2017-06-01 11:15:00,268.33333333333337,890.0,621.6666666666666
2017-06-01 11:30:00,254.16666666666669,921.6666666666666,667.5
2017-06-01 11:45:00,256.6666666666667,951.6666666666666,695.0
2017-06-01 12:00:00,275.83333333333337,562.5,286.66666666666663
2017-06-01 12:15:00,296.6666666666667,801.6666666666666,504.99999999999994
2017-06-01 12:30:00,298.33333333333326,707.5,409.16666666666674
2017-06-01 12:45:00,305.0,688.3333333333334,383.33333333333337
2017-06-01 13:00:00,330.0,737.5,407.5
2017-06-01 13:15:00,311.6666666666667,835.0,523.3333333333333
2017-06-01 13:30:00,291.6666666666667,799.1666666666667,507.5
2017-06-01 13:45:00,288.3333333333333,308.3333333333333,20.0
2017-06-01 14:00:00,267.5,574.1666666666666,306.66666666666663
2017-06-01 14:15:00,263.3333333333333,423.3333333333333,160.0
2017-06-01 14:30:00,263.33333333333337,647.5,384.16666666666663
2017-06-01 14:45:00,256.6666666666667,576.6666666666666,319.99999999999994
2017-06-01 15:00:00,273.33333333333337,597.5,324.16666666666663
2017-06-01 15:15:00,240.0,358.3333333333333,118.33333333333331
2017-06-01 15:30:00,259.16666666666663,355.0,95.83333333333334
2017-06-01 15:45:00,276.6666666666667,468.3333333333333,191.66666666666663
2017-06-01 16:00:00,232.5,286.66666666666663,54.16666666666666
2017-06-01 16:15:00,193.33333333333334,203.33333333333334,10.0
2017-06-01 16:30:00,230.83333333333334,296.66666666666663,65.83333333333329
2017-06-01 16:45:00,210.0,270.0,60.0
2017-06-01 17:00:00,184.16666666666666,270.0,85.83333333333336
2017-06-01 17:15:00,141.66666666666666,235.0,93.33333333333334
2017-06-01 17:30:00,124.16666666666667,193.33333333333334,69.16666666666667
2017-06-01 17:45:00,111.66666666666667,161.66666666666666,49.999999999999986
2017-06-01 18:00:00,88.33333333333334,120.83333333333334,32.5
2017-06-01 18:15:00,70.0,86.66666666666667,16.66666666666667
2017-06-01 18:30:00,41.66666666666667,49.16666666666667,7.5
2017-06-01 18:45:00,30.0,33.333333333333336,3.3333333333333357
2017-06-01 19:00:00,24.166666666666664,25.833333333333336,1.6666666666666679
2017-06-01 19:15:00,11.666666666666666,11.666666666666666,0.0
2017-06-01 19:30:00,2.5,2.5,0.0
2017-06-01 19:45:00,0.0,0.0,0.0
2017-06-01 20:00:00,0.0,0.0,0.0
2017-06-01 20:15:00,0.0,0.0,0.0
2017-06-01 20:30:00,0.0,0.0,0.0
2017-06-01 20:45:00,0.0,0.0,0.0
2017-06-01 21:00:00,0.0,0.0,0.0
2017-06-01 21:15:00,0.0,0.0,0.0
2017-06-01 21:30:00,0.0,0.0,0.0
2017-06-01 21:45:00,0.0,0.0,0.0
2017-06-01 22:00:00,0.0,0.0,0.0
2017-06-01 22:15:00,0.0,0.0,0.0
2017-06-01 22:30:00,0.0,0.0,0.0
2017-06-01 22:45:00,0.0,0.0,0.0
2017-06-01 23:00:00,0.0,0.0,0.0
2017-06-01 23:15:00,0.0,0.0,0.0
2017-06-01 23:30:00,0.0,0.0,0.0
2017-06-01 23:45:00,0.0,0.0,0.0
